time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
0;[9,_0_3_7_];[9,_0_3_7_];9;69
1;[9,_0_3_7_];[9,_0_3_7_];9;69
2;[4,_0_4_7_];[4,_0_4_7_];11;71
3;[9,_0_3_7_];[9,_0_3_7_];0;72
4;[2,_0_4_7_];[2,_0_4_7_];2;74
5;[7,_0_4_7_];[7,_0_7_];11;71
5.5;[7,_0_4_7_11_];;;
6;[7,_0_4_];;11;71
6.5;[0,_0_7_11_14_];;0;72
7;[7,_0_4_7_];;2;74
grouping;-------;-------;-------;-------
8;[4,_0_4_7_];[4,_0_4_7_];4;76
9;[9,_0_3_7_];[9,_0_3_7_];0;72
9.5;[0,_0_4_7_11_];;;
10;[5,_0_4_7_];[5,_0_4_7_];9;69
10.5;[9,_0_3_7_];;;
11;[2,_0_3_7_9_];[2,_0_3_7_9_];11;71
12;[4,_0_4_7_];[4,_0_4_7_];11;71
12.5;[4,_0_4_7_10_];[4,_0_4_7_10_];;
13;[9,_0_3_7_];[9,_0_3_7_];9;69
grouping;-------;-------;-------;-------
16;[9,_0_3_7_];[9,_0_3_7_];4;76
17;[11,_0_3_10_];[8,_0_3_6_];2;74
17.5;[8,_0_3_6_];;;
18;[9,_0_3_7_];[9,_0_3_7_];0;72
19;[2,_0_3_7_9_];[2,_0_3_7_9_];11;71
19.5;[4,_0_4_7_];;;
20;[5,_0_4_11_];[2,_0_3_7_];9;69
20.5;[2,_0_3_7_];;;
21;[4,_0_4_7_];[4,_0_4_7_];11;71
grouping;-------;-------;-------;-------
24;[4,_0_4_7_];[4,_0_4_7_];11;71
25;[9,_0_3_7_];[9,_0_3_7_];0;72
26;[7,_0_4_7_];[7,_0_4_7_];2;74
27;[0,_0_4_7_];[0,_0_4_7_];4;76
27.5;[4,_0_3_7_10_];;;
28;[9,_0_3_7_];[9,_0_3_7_];0;72
28.5;[9,_0_3_7_10_];;;
29;[2,_0_4_7_];[2,_0_4_7_];2;74
29.5;[4,_0_5_10_];;;
30;[7,_0_7_];[2,_0_4_10_];2;74
30.5;[2,_0_4_10_];;0;72
31;[7,_0_4_7_];[7,_0_4_7_];11;71
grouping;-------;-------;-------;-------
32;[7,_0_4_7_10_];[7,_0_4_7_10_];11;71
33;[0,_0_4_7_];[0,_0_4_7_];0;72
34;[2,_0_3_7_];[11,_0_3_6_];2;74
34.5;[11,_0_3_6_];;;
35;[0,_0_4_];[0,_0_4_];4;76
35.5;[0,_0_4_14_];;;
36;[9,_0_3_7_14_];[9,_0_3_7_];0;72
36.5;[9,_0_3_7_];;;
37;[11,_0_3_10_];[7,_0_4_7_];2;74
37.5;[2,_0_5_10_];;;
38;[2,_0_4_7_];[2,_0_4_7_10_];2;74
38.5;[9,_0_3_7_17_];;0;72
39;[7,_0_4_7_];[7,_0_4_7_];11;71
grouping;-------;-------;-------;-------
40;[4,_0_4_7_];[4,_0_4_7_];4;76
41;[9,_0_3_7_];[9,_0_3_7_];0;72
41.5;[4,_0_3_7_];;11;71
42;[5,_0_4_7_];[5,_0_4_7_];9;69
42.5;[9,_0_3_7_];;;
43;[2,_0_3_7_9_];[2,_0_3_7_9_];11;71
44;[4,_0_4_7_];[4,_0_4_7_];11;71
44.5;[4,_0_4_7_10_];[4,_0_4_7_10_];;
45;[9,_0_4_7_];[9,_0_4_7_];9;69
