TS;9/4
Grp;0
Bar;0  4  8
Bar;0  2  4
Bar;0  4  8
Bar;2  4
Grp;35
Bar;8
Bar;4  5
Bar;0  4  5
Grp;52
Bar;8
Bar;0  2  4  6
Bar;2  4
Grp;70
Bar;8
Bar;2  4
