TS;2/4
Bar;
Grp;2
Bar;0
Bar;
Bar;0  1
Bar;0
Grp;10
Bar;0
Bar;
Bar;0  1
Bar;0
Bar;
Grp;20
Bar;0
Bar;
Bar;
Bar;
Grp;28
Bar;0
Bar;1
Bar;0  1
Bar;0
Grp;36
Bar;0
Bar;
Bar;0  1
Bar;0
Grp;44
Bar;0
Bar;
Bar;0  1
Bar;0
Grp;52
Bar;0
Bar;
Bar;1
Bar;0
Grp;60
Bar;0
Bar;
Bar;0  1
Bar;0
Bar;
