TS;9/4
Grp;0
Bar;0  4
Bar;0  4
Grp;18
Bar;0  4
Bar;0  4
Grp;36
Bar;0  2  6
Bar;2  6
Grp;54
Bar;0  5  6
Bar;0  2  4  6
