TS;2/4
Grp;0
Bar;0
Bar;0
Bar;0
Bar;
Grp;8
Bar;0
Bar;
Bar;0
Bar;
Grp;16
Bar;0
Bar;
Bar;0
Bar;
Grp;24
Bar;0
Bar;
Bar;0
Bar;
Grp;32
Bar;0
Bar;0
Bar;0
Bar;
Grp;40
Bar;0
Bar;
Bar;0
Bar;
Grp;48
Bar;0
Bar;
Bar;0
Bar;
Bar;0
Bar;
Bar;0
Bar;
Grp;64
Bar;0
Bar;
Bar;0
Bar;
Grp;72
Bar;0
Bar;
Bar;0
Bar;
