TS	4/4
Grp	3.5
Bar	[3.5]
Bar	[0.0, 2.0, 3.0]
Bar	[0.0, 2.0, 3.0]
Bar	[0.0, 1.0, 2.0, 3.0]
Bar	[0.0, 1.0, 2.0, 3.0]
Bar	[0.0, 1.0, 2.0, 3.0, 3.5]
Bar	[0.0, 2.0, 3.0]
Bar	[0.0, 1.0, 1.5, 2.0, 3.0, 3.5]
Bar	[0.0, 1.0, 2.0]
Grp	0.0
Bar	[0.0, 1.0, 1.5, 2.0, 3.0]
Bar	[0.0, 1.0, 1.5, 2.0, 3.0]
Grp	0.0
Bar	[0.0, 1.0, 2.0, 3.0]
Bar	[0.0, 1.0, 1.5, 2.0, 3.0]
Grp	0.0
Bar	[0.0, 3.0, 3.5]
Bar	[0.0, 1.0, 2.0, 3.0]
Bar	[0.0, 1.0, 2.0]
Grp	3.0
Bar	[3.0]
Bar	[0.0, 1.0, 2.0, 3.0]
Bar	[0.0, 1.0, 2.0, 3.0, 3.5]
Bar	[0.0, 1.0, 2.0, 3.0]
TS	2/4
Bar	[0.0]
Grp	1.0
Bar	[1.0]
TS	4/4
Bar	[0.0, 1.0, 2.0, 3.0]
Bar	[0.0, 2.0, 3.0]
Bar	[0.0, 1.0, 2.0, 3.0]
Bar	[0.0, 1.0, 2.0, 3.0]
Bar	[0.0, 1.0, 2.0, 3.0]
Bar	[0.0, 2.0, 3.0]
Bar	[0.0, 1.0, 1.5, 2.0, 3.0, 3.5]
Bar	[0.0, 1.0, 2.0]
