TS;4/4
Grp;0
Bar;0
Bar;1  2  3
Bar;0  1  2
Bar;
Grp;10
Bar;1  2  3
Bar;0         0.5           1           2         2.5           3         3.5
Bar;0
Grp;20
Bar;0
Bar;0  1  2  3
Bar;0  1  2
Grp;28
Bar;3
Bar;0         0.5           1         1.5           2         2.5           3
Bar;0  1  2
