TS;4/4;;
Grp;0.0;;
Bar;0  1  2;[0.0, 1.0, 2.0, 3.0];[65, 67, 69, 69]
Grp;0.0;;
Bar;0  1  2;[0.0, 1.0, 2.0, 3.0];[69, 71, 72, 72]
Grp;0.0;;
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0];[72, 72, 71, 69]
Bar;0  1  2;[0.0, 1.0, 1.5, 2.0];[67, 67, 65, 65]
Grp;0.0;;
Bar;0  2  3;[0.0, 1.0, 2.0, 3.0];[72, 72, 74, 74]
Bar;0  1  2;[0.0, 1.0, 2.0, 3.0];[72, 72, 71, 71]
Grp;0.0;;
Bar;0  2  3;[0.0, 1.0, 2.0, 3.0];[71, 71, 72, 72]
Bar;0  1  2;[0.0, 1.0, 2.0, 3.0];[71, 71, 69, 69]
Grp;0.0;;
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0, 3.5];[69, 71, 72, 71, 69]
Bar;0  1  2;[0.0, 1.0, 2.0, 3.0];[67, 67, 65, 65]
