TS;4/4;;
Grp;3.0;;
Bar;0;[3.0];[63]
Bar;0  1  2  3;[0.0, 1.0, 2.0, 2.5, 3.0];[63, 65, 67, 65, 63]
Bar;1  2;[0.0, 1.0, 2.0];[67, 69, 70]
Grp;3.0;;
Bar;3;[3.0];[70]
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0, 3.5];[68, 67, 65, 63, 65]
Bar;1  2;[0.0, 1.0, 2.0];[67, 69, 70]
Grp;3.0;;
Bar;3;[3.0];[72]
Bar;0  2  3;[0.0, 1.0, 2.0, 3.0];[70, 68, 67, 68]
Bar;0  1  2;[0.0, 2.0];[65, 63]
Grp;0.0;;
Bar;0;[0.0];[75]
Bar;1  2  3;[0.0, 1.0, 2.0, 3.0];[75, 75, 74, 70]
Bar;0  2;[0.0, 1.0, 2.0];[72, 72, 67]
Grp;3.0;;
Bar;3;[3.0];[75]
Bar;0  2;[0.0, 1.0, 2.0, 3.0];[75, 75, 74, 70]
Bar;0  1  2;[0.0, 1.0, 2.0];[72, 72, 70]
Grp;3.0;;
Bar;3;[3.0, 3.5];[67, 68]
Bar;0.5           1           2         2.5           3;[0.0, 1.0, 2.0, 3.0];[70, 72, 70, 67]
Bar;0  1  2;[0.0, 2.0];[68, 67]
Grp;3.0;;
Bar;3;[3.0];[65]
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0];[67, 68, 70, 70]
Bar;0  1  2;[0.0, 1.0, 2.0];[68, 67, 65]
Grp;3.0;;
Bar;3;[3.0];[70]
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0];[72, 74, 75, 74]
Bar;0  1  2;[0.0, 1.0, 2.0];[72, 72, 70]
Grp;3.0;;
Bar;3;[3.0];[63]
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0];[65, 67, 68, 67]
Bar;0  1  2;[0.0, 2.0];[65, 63]
