TS;4/4;;
Grp;3.0;;
Bar;0;[3.0];[64]
Bar;1  2  3;[0.0, 1.0, 2.0, 3.0];[69, 71, 72, 74]
Bar;0  1  2;[0.0, 2.0];[71, 67]
Grp;3.0;;
Bar;3;[3.0];[67]
Bar;0  1  2;[0.0, 1.0, 2.0, 3.0];[69, 69, 71, 71]
Bar;0;[0.0];[64]
Grp;0.0;;
Bar;0;[0.0];[76]
Bar;0  2  3;[0.0, 1.0, 2.0, 3.0];[74, 72, 72, 71]
Bar;0;[0.0];[72]
Grp;3.0;;
Bar;3;[3.0];[71]
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0];[72, 74, 76, 76]
Bar;0  1  2;[0.0, 2.0];[74, 71]
Grp;3.0;;
Bar;3;[3.0];[71]
Bar;0  2;[0.0, 1.0, 2.0, 3.0];[72, 71, 69, 69]
Bar;0  1  2;[0.0, 1.0, 2.0];[71, 69, 67]
Grp;3.0;;
Bar;3;[3.0];[65]
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0];[64, 69, 69, 68]
Bar;0;[0.0];[69]
