TS;3/4;;
Grp;2.0;;
Bar;0;[2.0];[70]
Bar;0  2;[0.0, 2.0];[70, 69]
Bar;0  2;[0.0, 2.0];[67, 65]
Bar;0  1  2;[0.0, 1.0];[70, 72]
Bar;0;[0.0];[74]
Grp;2.0;;
Bar;2;[2.0];[74]
Bar;0  2;[0.0, 2.0];[74, 74]
Bar;0  1  2;[0.0, 2.0];[72, 74]
Bar;0  1;[0.0, 1.0];[75, 74]
Bar;0;[0.0];[72]
Grp;2.0;;
Bar;2;[2.0];[70]
Bar;0  2;[0.0, 2.0];[72, 74]
Bar;0  1  2;[0.0, 2.0];[72, 70]
Bar;0  1  2;[0.0, 1.0];[67, 69]
Bar;0;[0.0];[70]
Grp;2.0;;
Bar;2;[2.0];[77]
Bar;0  2;[0.0, 2.0];[74, 70]
Bar;0;[0.0, 2.0];[72, 75]
Bar;0  1  2;[0.0, 1.0];[74, 72]
Bar;0;[0.0];[70]
