TS;3/4;;
Grp;2.0;;
Bar;0;[2.0];[65]
Bar;2;[0.0, 1.5, 2.0, 2.5];[65, 67, 69, 70]
Bar;0;[0.0, 2.0];[72, 67]
Bar;0  2;[0.0, 2.0];[69, 71]
Bar;0;[0.0];[72]
Grp;2.0;;
Bar;2;[2.0];[70]
Bar;0  2;[0.0, 1.5, 2.0, 2.5];[69, 67, 69, 70]
Bar;0         1.5           2;[0.0, 2.0];[72, 70]
Bar;0  2;[0.0, 2.0];[69, 67]
Bar;0;[0.0];[69]
Grp;2.0;;
Bar;2;[2.0];[69]
Bar;0  2;[0.0, 2.0];[72, 70]
Bar;0  2;[0.0, 2.0];[69, 67]
Bar;0  1  2;[0.0, 2.0];[65, 64]
Bar;0;[0.0];[65]
Grp;2.0;;
Bar;2;[2.0];[65]
Bar;0  2;[0.0, 0.5, 1.0, 1.5, 2.0];[67, 65, 67, 69, 70]
Bar;0  2;[0.0, 2.0];[69, 67]
Bar;0  1  2;[0.0, 2.0];[65, 64]
Bar;0;[0.0];[65]
