TS;4/4;;
Grp;0.0;;
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0];[67, 69, 71, 69]
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0];[67, 66, 64, 62]
Grp;0.0;;
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0];[67, 69, 71, 72]
Bar;0  1  2;[0.0, 1.0, 2.0];[71, 69, 67]
Grp;0.0;;
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0];[71, 72, 74, 72]
Bar;0  1  2;[0.0, 1.0, 2.0];[71, 69, 71]
Grp;0.0;;
Bar;0  2  3;[0.0, 1.0, 2.0, 3.0];[74, 74, 76, 74]
Bar;0  1  2;[0.0, 1.0, 2.0];[72, 71, 69]
Grp;0.0;;
Bar;0  2  3;[0.0, 0.5, 1.0, 2.0, 3.0, 3.5];[71, 72, 74, 72, 71, 69]
Bar;0  1  2  3;[0.0, 1.0, 2.0];[67, 69, 71]
Bar;0;[0.0];[67]
Grp;2.0;;
Bar;2  3;[2.0, 2.5, 3.0];[71, 72, 74]
Bar;0           1           2         2.5           3;[0.0, 1.0, 2.0, 3.0];[72, 71, 69, 71]
Bar;0  2;[0.0, 2.0];[69, 67]
