TS;4/4;;
Grp;0.0;;
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0];[72, 67, 69, 71]
Bar;0         0.5           1           2;[0.0, 2.0];[72, 72]
Grp;3.0;;
Bar;3;[3.0];[67]
Bar;0  1  2  3;[0.0, 1.0, 2.0];[72, 70, 69]
Bar;0;[0.0];[67]
Grp;2.0;;
Bar;2  3;[2.0, 3.0];[67, 69]
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0];[70, 72, 70, 69]
Bar;0;[0.0];[67]
Grp;2.0;;
Bar;2;[2.0, 3.0];[67, 72]
Bar;1         1.5           2;[0.0, 1.0, 2.0];[72, 71, 72]
Grp;0.0;;
Bar;0  2;[0.0, 1.0, 2.0, 3.0];[72, 72, 74, 74]
Bar;0           1         1.5           2;[0.0, 1.0, 2.0];[72, 70, 69]
Grp;0.0;;
Bar;0           1           2           3         3.5;[0.0, 1.0, 2.0, 3.0];[67, 69, 70, 69]
Bar;0;[0.0];[67]
Grp;2.0;;
Bar;2  3;[2.0, 3.0];[70, 72]
Bar;0  1  2  3;[0.0, 1.0, 1.5, 2.0];[74, 75, 74, 72]
Bar;0;[0.0];[74]
Grp;2.0;;
Bar;2  3;[2.0, 3.0];[74, 72]
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0];[74, 72, 70, 67]
Bar;0           1         1.5           2;[0.0, 1.0, 2.0];[69, 71, 72]
