TS;4/4;;
Grp;3.0;;
Bar;0;[3.0];[64]
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0];[69, 67, 65, 64]
Bar;0  1  2;[0.0, 2.0];[62, 64]
Grp;3.0;;
Bar;3;[3.0];[71]
Bar;0  1  2  3;[0.0, 1.0, 2.0, 2.5, 2.75, 3.0];[72, 72, 71, 72, 74, 71]
Bar;0;[0.0];[69]
Grp;0.0;;
Bar;0;[0.0];[72]
Bar;0  1  2  3;[0.0, 0.5, 1.0, 2.0, 3.0];[71, 69, 67, 69, 71]
Bar;0  1;[0.0, 2.0];[72, 72]
Grp;3.0;;
Bar;3;[3.0];[67]
Bar;0  1  2;[0.0, 1.0, 2.0, 2.5, 3.0];[69, 67, 65, 64, 65]
Bar;0;[0.0];[64]
Grp;3.0;;
Bar;3;[3.0];[72]
Bar;0  2  3;[0.0, 0.5, 1.0, 2.0, 3.0];[71, 72, 74, 72, 71]
Bar;0  1  2;[0.0, 2.0];[69, 71]
Grp;3.0;;
Bar;3;[3.0];[64]
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0, 3.5];[65, 64, 62, 67, 65]
Bar;0  1  2;[0.0];[64]
