TS;4/4;;
Grp;3.0;;
Bar;0;[3.0];[70]
Bar;0  1  2  3;[0.0, 0.5, 1.0, 2.0, 3.0];[70, 72, 74, 72, 70]
Bar;0  1  2;[0.0, 2.0];[69, 67]
Grp;3.0;;
Bar;3;[3.0];[74]
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0];[75, 72, 74, 72]
Bar;0;[0.0];[70]
Grp;0.0;;
Bar;0;[0.0, 0.5];[70, 72]
Bar;1  2  3;[0.0, 1.0, 2.0, 3.0];[74, 74, 75, 75]
Bar;0  1  2;[0.0, 1.0, 1.5, 2.0];[77, 75, 74, 72]
Grp;3.0;;
Bar;3;[3.0];[77]
Bar;0           2         2.5           3;[0.0, 1.0, 2.0, 3.0];[74, 74, 72, 70]
Bar;0  1  2;[0.0, 2.0];[69, 67]
Grp;3.0;;
Bar;3;[3.0];[74]
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0];[75, 72, 74, 72]
Bar;0;[0.0];[70]
