TS;4/4;;
Grp;3.0;;
Bar;0;[3.0];[69]
Bar;1  2  3;[0.0, 1.0, 2.0, 3.0];[69, 71, 72, 74]
Bar;0;[0.0, 1.0, 1.5, 2.0];[71, 71, 72, 74]
Grp;3.0;;
Bar;3;[3.0];[76]
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0];[72, 69, 71, 71]
Bar;0;[0.0];[69]
Grp;0.0;;
Bar;0;[0.0];[76]
Bar;0  1  2;[0.0, 1.0, 2.0, 3.0];[74, 72, 71, 69]
Bar;0;[0.0];[71]
Grp;3.0;;
Bar;3;[3.0];[71]
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0];[72, 74, 76, 72]
Bar;0  1  2;[0.0, 1.0, 1.5, 2.0];[74, 74, 72, 71]
Grp;3.0;;
Bar;3;[3.0];[71]
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0];[72, 74, 76, 72]
Bar;0  1  2;[0.0, 1.0, 1.5, 2.0];[74, 74, 72, 71]
Grp;3.0;;
Bar;3;[3.0];[76]
Bar;0  1  2  3;[0.0, 0.5, 1.0, 2.0, 3.0];[72, 71, 69, 71, 71]
Bar;0;[0.0];[69]
