TS	2/4	
Grp	0.0	
Bar	[0.0, 0.25, 0.5, 0.75, 1.0]	[67, 65, 63, 65, 67]
Bar	[0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[65, 67, 68, 70, 72, 68, 70]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0]	[67, 65, 63, 65, 67]
Bar	[0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[65, 67, 68, 70, 72, 68, 70]
Grp	0.0	
Bar	[0.0, 0.25, 0.5, 0.75, 1.0]	[67, 65, 63, 65, 67]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0]	[69, 67, 66, 67, 69]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0]	[71, 69, 67, 69, 71]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0]	[72, 70, 68, 70, 72]
Grp	0.0	
Bar	[0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[72, 74, 75, 74, 75, 72, 74]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.75]	[70, 68, 67, 68, 70, 67]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.75]	[68, 67, 65, 67, 68, 70]
Bar	[0.0]	[67]
Grp	0.0	
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.75]	[65, 63, 62, 63, 65, 67]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.75]	[63, 62, 60, 62, 63, 60]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[62, 60, 62, 65, 62, 60, 62, 59]
Bar	[0.0]	[60]
Grp	0.0	
Bar	[0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[64, 65, 64, 67, 64, 62, 60]
Bar	[0.0, 1.0]	[64, 62]
Bar	[0.5, 1.0, 1.5, 1.75]	[62, 64, 62, 64]
Bar	[0.0, 1.0]	[62, 60]
Grp	0.0	
Bar	[0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[64, 65, 64, 67, 64, 62, 60]
Bar	[0.0, 1.25, 1.5, 1.75]	[67, 63, 65, 67]
Bar	[0.0, 1.25, 1.5, 1.75]	[70, 65, 67, 68]
Bar	[0.0, 1.0]	[70, 71]
Grp	0.0	
Bar	[0.0, 0.5, 1.0]	[72, 69, 72]
Bar	[0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[69, 71, 72, 71, 69, 67, 69]
Bar	[0.0, 0.5, 1.0]	[71, 67, 71]
Bar	[0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[67, 69, 70, 69, 67, 65, 67]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0]	[69, 67, 65, 67, 69]
Grp	0.0	
Bar	[0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[65, 67, 69, 72, 69, 67, 65]
Bar	[0.0, 1.0]	[64, 62]
Bar	[0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[64, 65, 64, 67, 64, 62, 60]
Bar	[0.0, 1.25, 1.5, 1.75]	[64, 57, 59, 60]
Bar	[0.0, 1.0, 1.5, 1.75]	[64, 64, 64, 64]
Bar	[0.0]	[60]
