TS;3/4
Bar;1
Grp;3
Bar;0
Bar;
Bar;
Bar;
Bar;
Bar;
Bar;0
Bar;
Grp;27
Bar;0
Bar;
Bar;0
Bar;
Bar;0
Bar;
Bar;0
Bar;0
Bar;0
Bar;0
Bar;
Grp;60
Bar;0
Bar;
Bar;0
Bar;
Bar;0
Bar;
Bar;0
Bar;
Grp;84
Bar;0
Bar;
Bar;0
Bar;
Bar;0
Bar;
Bar;0
Bar;0
Grp;108
Bar;0
Bar;
Bar;0
Bar;
Bar;0
Bar;
Bar;0
Bar;
Grp;132
Bar;0
Bar;
Bar;0
Bar;0
Bar;0
Bar;0
Bar;0
Bar;
