time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;7;[0 3 5 7 10];-------;-------
grouping;0;-------;-------;-------
0;;[3 0];;
1;;[5 0];;
2;;[5 0];;
3;;[0 0];;
grouping;4.5;-------;-------;-------
4.5;[0 0 3];[0 0 7];;
1;[5 0 7];;;
2;[5 0 7];;;
2.5;[0 0 3];;;
3;[0 0];;;
4.5;[0 0 7];;;
5.5;[0 0 5 10];[0 0 5 10];;
6.5;[5 0 7];[0 0 3 10];;
7;[0 0 3 10];;;
7.5;[0 0];[0 0];;
8.5;[0 0 10];;;
grouping;9;-------;-------;-------
9;[7 0 5 10];[0 0 3 7];;
9.5;[0 0 3 7];;;
10;[0 0 10];[0 0 10];;
11;[0 0];[0 0];;
11.5;[0 0 10];;;
12;[0 0];[0 0];;
grouping;13.5;-------;-------;-------
13.5;[0 0 7];[0 0 7];;
14;[7 0 5 10];;;
14.5;[7 0 3 5];[0 0 5 10];;
15;[0 0 5 10];;;
15.5;[5 0 7];[0 0 3 10];;
16;[0 0 3 10];;;
16.5;[0 0];[0 0];;
17.5;[0 0 10];;;
grouping;18;-------;-------;-------
18;[0 0 7];[0 0 7];;
19;[7 0 3 5];[0 0 5 10];;
19.5;[0 0 5 10];;;
20;[5 0 7];[0 0 3 10];;
20.5;[0 0 3 10];;;
21;[0 0];[0 0];;
22;[0 0 10];;;
grouping;22.5;-------;-------;-------
22.5;[7 0 5 10];[0 0 3 7];;
23;[0 0 3 7];;;
23.5;[0 0 10];[0 0 10];;
24.5;[0 0];[0 0];;
