TS;4/4
Grp;0
Bar;3
Bar;0  1  2
Grp;7
Bar;3
Bar;0  1  2  3
Bar;0  1  2  3
Bar;0  1  2  3
Bar;0
Grp;21
Bar;3         3.5
Bar;0         0.5           1           2         2.5           3         3.5
Bar;0           1           2         2.5           3
Bar;
Grp;33
Bar;1  3
Bar;0
Bar;0
Grp;41
Bar;2
Bar;0
Grp;47
Bar;3
Bar;0  1  2  3
Grp;52
Bar;0  1  2  3
Bar;0           1         2.5           3
Bar;0           1         2.5
Grp;63
Bar;3
Bar;0  1  2  3
TS;3/4
Bar;0           1         2.5
TS;4/4
Bar;0  1  2
Grp;74
Bar;3
Bar;0  1  2  3
Bar;0
Bar;0         2.5
Bar;0
