TS;12/8
Grp;0
Bar;0         1.5         2.5           3           4         4.5         5.5
Bar;0         1.5           3         4.5
Bar;0
Grp;13.5
Bar;1.5           3         4.5
Bar;0         1.5           3         4.5
Bar;0         1.5         2.5           3           4         4.5         5.5
Bar;0           1         2.5           3           4         4.5
TS;6/8
Bar;0
TS;12/8
Grp;39
Bar;0         1.5         2.5           3           4         4.5         5.5
Bar;0         1.5           3           4         4.5
Bar;0
Grp;52.5
Bar;1.5           3         4.5
Bar;0         1.5           3         4.5
Bar;0         1.5         2.5           3           4         4.5         5.5
Bar;0           1         1.5           3         4.5
TS;6/8
Bar;0
TS;12/8
Grp;78
Bar;1.5           2         2.5           3
Bar;0           1           3           5         5.5        5.75
TS;9/8
Bar;0
Grp;93
Bar;3
TS;12/8
Bar;0         1.5           3         4.5
Bar;0         1.5           3         4.5         5.5
Bar;0         1.5           3         4.5
Bar;0           1         1.5           3
