TS;6/8
Grp;0
Bar;0         1.5
Bar;0         1.5         2.5
Bar;0           1         1.5         2.5
Bar;0           1         1.5
Grp;12
Bar;0           1         1.5
Bar;0         1.5
Bar;0           1         1.5           2         2.5
Bar;0
Grp;24
Bar;0         1.5
Bar;0         1.5         2.5
Bar;0           1         1.5         2.5
TS;9/8
Grp;33
Bar;0         1.5           3           4
TS;6/8
Bar;0
Grp;40.5
Bar;0           1         1.5
Bar;0         1.5
Bar;0           1         1.5           2         2.5
Bar;0
