TS;4/4;;
Grp;0.0;;
Bar;0;[0.0, 1.5, 2.0, 2.5, 3.5];[67, 64, 64, 62, 67]
Bar;;[0.0, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5];[67, 64, 64, 64, 64, 62, 67]
Bar;0;[0.0, 1.0, 2.0, 3.0, 3.5];[67, 64, 64, 62, 67]
Bar;;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5];[67, 67, 64, 64, 64, 64, 62, 65]
Grp;0.0;;
Bar;0;[0.0, 0.5, 1.5, 2.0, 2.5, 3.0, 3.5];[65, 62, 62, 62, 62, 60, 64]
Bar;0;[0.0, 0.5, 1.5, 2.5, 3.0];[64, 60, 60, 60, 58]
Bar;0;[1.0];[60]
Bar;0;[0.0];[60]
Bar;0;[1.0];[60]
Bar;;[0.0];[60]
Grp;0.0;;
Bar;0;[0.0];[65]
Bar;;[0.0, 0.6666666666666643, 1.3333333333333357, 2.0, 2.6666666666666643, 3.3333333333333357];[65, 66, 65, 63, 65, 63]
Bar;0;[0.0, 1.5, 2.0];[61, 63, 63]
Bar;;[0.0, 3.5];[63, 68]
Grp;0.0;;
Bar;0;[0.0];[68]
Bar;;[0.0, 0.6666666666666643, 1.3333333333333357, 2.0, 2.6666666666666643, 3.3333333333333357];[68, 69, 68, 66, 68, 66]
Bar;0;[0.0, 1.5, 2.0];[64, 66, 66]
Bar;;[0.0, 3.5];[66, 69]
Grp;0.0;;
Bar;0;[0.0];[69]
Bar;;[0.0, 0.6666666666666714, 1.3333333333333286, 2.0, 2.6666666666666714, 3.3333333333333286];[69, 70, 69, 67, 69, 67]
Bar;0;[0.0, 1.5, 2.0];[65, 67, 67]
Bar;;[0.0];[67]
Grp;2.0;;
Bar;;[2.6666666666666714, 3.3333333333333286];[69, 70]
Bar;0;[0.0, 0.6666666666666714, 1.3333333333333286, 2.0, 2.6666666666666714, 3.3333333333333286];[72, 60, 62, 64, 65, 67]
Bar;0;[0.0, 3.0];[68, 69]
Bar;0;[0.0, 0.6666666666666714, 1.3333333333333286, 2.0, 2.6666666666666714, 3.3333333333333286];[70, 58, 60, 62, 64, 65]
Bar;0;[0.0];[66]
Grp;0.0;;
Bar;0;[0.0, 1.5, 2.0, 2.5, 3.5];[67, 64, 64, 62, 67]
Bar;;[0.0, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5];[67, 64, 64, 64, 64, 62, 67]
Bar;0;[0.0, 1.0, 2.0, 3.0, 3.5];[67, 64, 64, 62, 67]
Bar;;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5];[67, 67, 64, 64, 64, 64, 62, 69]
Grp;0.0;;
Bar;0;[0.0, 1.5, 2.0, 2.5, 3.0, 3.5];[69, 65, 65, 65, 62, 72]
Bar;0;[0.0, 1.5, 2.0, 2.6666666666666714, 3.3333333333333286];[72, 64, 64, 64, 62]
Bar;0;[0.0];[64]
Bar;0;[0.0];[64]
