TS	6/8	
Bar	[1.0, Fraction(4, 3), Fraction(5, 3)]	[78, 79, 81]
Grp	0.0	
Bar	[0.0, 1.5, 2.0, 2.166666666666667, 2.333333333333333, 2.5, 2.666666666666667, 2.833333333333333]	[82, 81, 84, 82, 81, 79, 78, 81]
Bar	[0.0, 1.5, 2.0, 2.5]	[79, 74, 75, 76]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.166666666666666, 2.333333333333334, 2.5, 2.666666666666666, 2.833333333333334]	[77, 76, 75, 74, 77, 75, 74, 72, 71, 74]
Bar	[0.0, 1.5, 1.666666666666666, 1.833333333333334, 2.0, 2.25, 2.5, 2.75]	[72, 72, 70, 69, 72, 70, 69, 67]
Grp	0.0	
Bar	[0.0, 1.5, 2.0, 2.333333333333332, 2.666666666666668]	[69, 70, 73, 74, 78]
Bar	[0.0, 1.5, 2.0, 2.5]	[75, 75, 74, 73]
Bar	[0.0, 1.5, 2.0, 2.25, 2.5, 2.75]	[74, 73, 70, 69, 67, 66]
Bar	[0.0, 1.5, 2.0, 2.5]	[67, 74, 70, 69]
Grp	0.0	
Bar	[0.0, 1.5, 2.0, 2.5]	[67, 70, 70, 69]
Bar	[0.0, 1.5, 2.0, 2.5]	[72, 70, 69, 67]
Bar	[0.0, 0.5, 1.5]	[75, 74, 74]
Bar	[0.0, 0.1666666666666643, 0.3333333333333357, 0.5, 0.6666666666666643, 0.8333333333333357, 1.0, 1.1666666666666643, 1.3333333333333357, 1.5, 1.6666666666666643, 1.8333333333333357, 2.0, 2.1666666666666643]	[70, 69, 67, 66, 63, 62, 61, 58, 57, 55, 57, 58, 61, 62]
Grp	0.0	
Bar	[0.0, 1.5, 2.0, 2.5]	[67, 70, 70, 69]
Bar	[0.0, 1.5, 2.0, 2.5]	[72, 70, 69, 67]
Bar	[0.0, 0.5, 1.5]	[75, 74, 74]
Bar	[0.0, 0.125, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0]	[69, 67, 66, 67, 69, 70, 69, 70, 73, 74]
Grp	0.0	
Bar	[0.0, 1.5, 2.0, 2.5]	[79, 79, 75, 75]
Bar	[0.0, 1.5, 2.0, 2.25, 2.5, 2.75]	[74, 73, 74, 73, 70, 69]
Bar	[0.0, 1.5, 2.0, 2.1666666666666643, 2.3333333333333357, 2.5, 2.75]	[70, 66, 69, 67, 66, 67, 69]
Bar	[0.0, 1.5, 1.75, 2.0, 2.25, 2.5, 2.75]	[70, 69, 70, 72, 70, 69, 67]
Grp	0.0	
Bar	[0.0, 1.5, 2.0, 2.5]	[69, 70, 73, 74]
Bar	[0.0, 1.5, 2.0, 2.25, 2.5, 2.75]	[70, 69, 70, 69, 67, 66]
Bar	[0.0, 1.5, 2.0, 2.1666666666666714, 2.3333333333333286, 2.5, 2.75]	[67, 69, 72, 70, 69, 70, 73]
Bar	[0.0, 1.5, 2.0, 2.5]	[74, 69, 70, 69]
Grp	0.0	
Bar	[0.0, 1.5, 2.0, 2.5]	[79, 79, 75, 75]
Bar	[0.0, 1.5, 2.0, 2.25, 2.5, 2.75]	[74, 73, 74, 73, 70, 69]
Bar	[0.0, 1.5, 2.0, 2.1666666666666714, 2.3333333333333286, 2.5, 2.75]	[70, 66, 69, 67, 66, 67, 69]
Bar	[0.0, 1.5, 1.75, 2.0, 2.25, 2.5, 2.75]	[70, 69, 70, 72, 70, 69, 67]
Grp	0.0	
Bar	[0.0, 1.5, 2.0, 2.5]	[69, 70, 73, 74]
Bar	[0.0, 1.5, 2.0, 2.25, 2.5, 2.75]	[66, 63, 62, 61, 58, 57]
Bar	[0.0, 1.5, 2.0, 2.5]	[67, 74, 70, 69]
Bar	[0.0]	[67]
Grp	1.0	
Bar	[1.5, 2.0, 2.5]	[78, 79, 81]
TS	2/4	
Grp	0.0	
Bar	[]	[]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[79, 74, 75, 73, 74, 70, 69, 67]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5]	[74, 73, 75, 74]
Bar	[0.0, 0.5, 1.0, 1.25, 1.5]	[73, 74, 70, 69, 67]
Bar	[0.0, 0.5, 1.0, 1.5]	[69, 70, 73, 74]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0]	[78, 74, 75, 73, 74]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[79, 74, 75, 73, 74, 70, 69, 67]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0]	[78, 74, 75, 73, 74]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5]	[79, 74, 75, 73]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5]	[74, 75, 74, 73, 70, 69, 67]
Bar	[0.0, 0.5, 1.0, 1.5]	[69, 70, 73, 74]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0]	[78, 74, 75, 73, 74]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5]	[79, 74, 75, 73]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5]	[74, 75, 74, 73, 70, 69, 67]
Bar	[0.0, 0.5, 1.0, 1.5]	[69, 70, 73, 74]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.375, 1.5, 1.75]	[70, 69, 67, 66, 67, 75, 74, 73, 74]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.25, 1.5, 1.75]	[75, 75, 75, 74, 73, 70]
Bar	[0.0, 0.5, 1.0, 1.25, 1.5, 1.75]	[73, 74, 74, 70, 69, 67]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[69, 70, 67, 69, 70, 69, 67, 66]
