TS	4/4	
Bar	[0.5, 0.75]	[76, 76]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.25, 1.5, 2.0, 2.5, 3.0, 3.25, 3.5, 4.0, 4.5, 4.75, 5.0, 5.5, 6.0, 6.5, 6.75, 7.0, 7.5, 8.0]	[76, 72, 69, 71, 72, 71, 67, 64, 66, 67, 66, 66, 64, 63, 66, 64, 64, 66, 67, 70, 71]
Bar	[0.0, 0.5, 1.0, 1.25, 1.5, 2.0, 2.5, 3.0, 3.25, 3.5, 4.0, 4.5, 4.75, 5.0, 5.25, 5.5, 5.75, 6.0, 6.75, 7.0, 7.5, 8.0]	[76, 72, 69, 71, 72, 71, 67, 64, 66, 67, 66, 66, 64, 63, 64, 66, 63, 64, 59, 64, 59, 64]
Grp	0.0	
Bar	[0.5, 1.0, 1.5, 2.0, 2.25, 2.5, 2.75, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0, 6.75, 7.0, 7.5, 8.0]	[72, 71, 70, 67, 70, 67, 66, 67, 70, 67, 66, 64, 63, 64, 59, 60, 63, 64]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.25, 2.5, 2.75, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0, 6.75, 7.0, 7.25, 7.5, 7.75, 8.0]	[64, 72, 71, 70, 67, 70, 67, 66, 67, 70, 71, 72, 70, 72, 71, 66, 67, 66, 67, 70, 71]
Grp	0.0	
Bar	[0.5, 1.0, 1.5, 2.0, 2.5, 2.75, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.25, 8.5]	[71, 69, 67, 71, 71, 69, 67, 71, 69, 67, 66, 69, 67, 62, 64, 66, 67, 62, 67]
Bar	[0.5, 1.0, 1.5, 2.0, 2.5, 2.75, 3.0, 3.5, 4.0, 4.5, 4.75, 5.0, 5.5, 6.0, 6.5, 6.75, 7.0, 7.25, 7.5, 7.75, 8.0]	[71, 69, 67, 71, 71, 69, 67, 71, 69, 69, 67, 66, 69, 67, 64, 72, 71, 72, 69, 72, 71]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.25, 4.5, 4.75, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0]	[64, 67, 66, 67, 64, 72, 71, 70, 67, 70, 67, 66, 64, 63, 64, 66, 67, 70, 71]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.25, 4.5, 4.75, 5.0, 5.5, 6.0, 6.75, 7.0, 7.5, 8.0]	[64, 67, 66, 67, 64, 72, 71, 70, 67, 70, 67, 66, 64, 63, 64, 59, 64, 59, 64]
