TS	4/4	
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0]	[60, 72, 70, 69, 67, 66, 67]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[71, 72, 72, 72, 72, 72, 71, 72]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0]	[74, 72, 71, 69, 71, 72, 74]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[67, 69, 69, 69, 69, 69, 69, 67]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0]	[69, 72, 70, 69, 67, 66, 67]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[71, 72, 72, 72, 72, 72, 71, 72]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0]	[74, 72, 71, 69, 71, 72, 74]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[67, 69, 69, 69, 69, 69, 69, 67]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0]	[69, 72, 70, 69, 67, 66, 67]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[67, 66, 67, 69, 70, 67, 69, 65]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[64, 63, 64, 65, 69, 67, 65, 64]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[62, 61, 62, 64, 65, 66, 67, 64]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0]	[60, 72, 70, 69, 67, 66, 67]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[67, 66, 67, 69, 70, 67, 69, 65]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[64, 63, 64, 65, 69, 67, 65, 64]
Bar	[0.0, 0.5, 0.75, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[55, 57, 55, 54, 55, 56, 57, 58, 59]
Bar	[0.0, 1.0, 2.0]	[60, 55, 60]
