reduction	44.5	[71, 63, 59, 54]
melody	45.0	[68]
surface	45.0	[68, 62]
reduction	45.0	[68, 62, 58, 53]
melody	45.5	[69]
surface	45.5	[69, 62]
reduction	45.5	[69, 62, 58, 52]
melody	46.0	[66]
surface	46.0	[66, 61]
reduction	46.0	[66, 61, 57, 51]
melody	47.0	[68]
surface	47.0	[68, 63]
reduction	47.0	[68, 63, 59, 54]
surface	47.5	[68, 63]
surface	143/3	[68, 64]
surface	287/6	[68, 63]
melody	48.0	[68]
surface	48.0	[68, 63]
reduction	48.0	[68, 63, 59, 54]
melody	49.0	[66]
surface	49.0	[66, 61]
reduction	49.0	[66, 61, 57, 51]
grouping	51.0	[61, 63]
melody	51.0	[66]
surface	51.0	[66, 60]
reduction	51.0	[66, 60, 56, 51]
melody	51.75	[63]
surface	51.75	[63, 58]
melody	52.0	[66]
surface	52.0	[66, 60]
reduction	52.0	[63, 58, 54, 44]
melody	52.5	[63]
surface	52.5	[63, 58]
melody	52.75	[63]
surface	52.75	[63, 58]
melody	53.0	[66]
surface	53.0	[66, 60]
reduction	53.0	[66, 60, 56, 51]
melody	53.75	[66]
surface	53.75	[66, 60]
melody	54.0	[70]
surface	54.0	[70, 63]
reduction	54.0	[70, 63, 60, 54]
melody	56.0	[70]
surface	56.0	[70, 60]
grouping	57.0	[61]
melody	57.0	[68]
surface	57.0	[68, 65]
reduction	57.0	[68, 65, 60, 56]
melody	58.0	[66]
surface	58.0	[66, 63]
melody	58.5	[68]
surface	58.5	[68, 65]
melody	59.0	[70]
surface	59.0	[70, 66]
reduction	59.0	[70, 66, 58, 54]
melody	178/3	[66]
surface	178/3	[66, 63]
melody	179/3	[70]
surface	179/3	[70, 66]
melody	60.0	[73]
surface	60.0	[73, 66]
reduction	60.0	[73, 66, 58, 51]
melody	61.0	[70]
surface	61.0	[70, 66]
melody	61.5	[73]
surface	61.5	[73, 66]
surface	61.75	[73, 64]
melody	62.0	[78]
surface	62.0	[78, 63]
reduction	62.0	[73, 66, 57, 54]
surface	62.25	[78, 64]
melody	62.5	[73]
surface	62.5	[73, 66]
surface	62.75	[73, 68]
melody	63.0	[71]
surface	63.0	[71, 69]
reduction	63.0	[71, 69, 61, 54]
surface	63.25	[71, 68]
melody	63.5	[73]
surface	63.5	[73, 66]
surface	63.75	[73, 64]
melody	64.0	[78]
surface	64.0	[78, 63]
surface	64.25	[78, 64]
melody	64.5	[73]
surface	64.5	[73, 66]
melody	194/3	[75]
surface	194/3	[75, 66]
surface	64.75	[75, 68]
melody	389/6	[73]
surface	389/6	[73, 68]
melody	65.0	[71]
surface	65.0	[71, 69]
surface	65.25	[71, 68]
melody	65.5	[73]
surface	65.5	[73, 66]
surface	65.75	[73, 64]
grouping	66.0	[61]
melody	66.0	[73]
surface	66.0	[73, 64]
reduction	66.0	[73, 64, 57, 54]
melody	67.0	[71]
surface	67.0	[71, 63]
reduction	67.0	[71, 63, 54, 57]
melody	68.0	[66]
surface	68.0	[66, 63]
reduction	68.0	[66, 63, 47, 57]
melody	68.5	[66]
surface	68.5	[66, 64]
melody	69.0	[66]
surface	69.0	[66, 61]
reduction	69.0	[66, 61, 57, 52]
melody	70.0	[66]
surface	70.0	[66, 59]
melody	70.5	[66]
surface	70.5	[66, 61]
melody	71.0	[66]
surface	71.0	[66, 64]
reduction	71.0	[63, 66, 54, 57]
melody	71.5	[66]
surface	71.5	[66, 63]
melody	71.75	[68]
surface	71.75	[68, 63]
melody	72.0	[66]
surface	72.0	[66, 61]
reduction	72.0	[66, 61, 57, 52]
surface	73.0	[66, 60]
reduction	73.0	[60, 66, 51, 57]
grouping	74.0	[61]
melody	74.0	[66]
surface	74.0	[66, 61]
reduction	74.0	[66, 61, 58, 54]
melody	75.0	[68]
surface	75.0	[68, 64]
reduction	75.0	[68, 64, 61, 49]
melody	75.5	[68]
surface	75.5	[68, 63]
surface	227/3	[68, 64]
surface	455/6	[68, 63]
melody	76.0	[66]
surface	76.0	[66, 61]
reduction	76.0	[66, 61, 58, 54]
melody	76.5	[66]
surface	76.5	[66, 66]
melody	77.0	[68]
surface	77.0	[68, 64]
reduction	77.0	[68, 64, 61, 49]
melody	77.5	[68]
surface	77.5	[68, 63]
surface	233/3	[68, 64]
surface	467/6	[68, 63]
melody	78.0	[66]
surface	78.0	[66, 61]
reduction	78.0	[66, 61, 58, 54]
melody	79.0	[73]
surface	79.0	[73]
reduction	79.0	[73, 70, 66, 54]
surface	80.0	[73, 70]
grouping	81.0	[61]
melody	81.0	[76]
surface	81.0	[76, 68]
reduction	81.0	[76, 68, 61]
melody	81.5	[75]
surface	81.5	[75, 66]
melody	245/3	[76]
surface	245/3	[76, 66]
surface	81.75	[76, 68]
melody	491/6	[75]
surface	491/6	[75, 68]
melody	82.0	[73]
surface	82.0	[73, 70]
reduction	82.0	[73, 70, 66]
melody	82.5	[78]
surface	82.5	[78, 70]
reduction	82.5	[78, 70, 63, 51]
melody	83.0	[76]
surface	83.0	[76, 68]
reduction	83.0	[76, 68, 59, 52]
melody	83.5	[75]
surface	83.5	[75, 66]
reduction	83.5	[75, 64, 56, 49]
surface	83.75	[75, 64]
melody	84.0	[73]
surface	84.0	[73, 66]
reduction	84.0	[73, 66, 58, 42]
