reduction	54.0	[72, 65, 60, 50]
melody	54.5	[70]
surface	54.5	[70, 67, 62, 51]
reduction	54.5	[70, 67, 62, 51]
surface	55.5	[65, 70, 50, 62]
reduction	55.5	[65, 70, 50, 62]
melody	56.5	[72]
surface	56.5	[72, 63, 63, 48]
reduction	56.5	[72, 63, 63, 48]
grouping	57.5	[63]
melody	58.5	[72]
surface	58.5	[72, 63, 60, 48]
reduction	58.5	[72, 63, 60, 48]
melody	59.0	[72]
surface	59.0	[72, 63, 60, 48]
melody	59.5	[72]
surface	59.5	[72, 63, 60, 48]
melody	60.0	[72]
surface	60.0	[72, 63, 60, 48]
reduction	60.0	[72, 63, 60, 48]
melody	60.5	[72]
surface	60.5	[72, 63, 60, 48]
melody	61.0	[72]
surface	61.0	[72, 63, 60, 48]
reduction	61.0	[72, 63, 60, 48]
melody	61.5	[72]
surface	61.5	[72, 63, 60, 48]
melody	62.0	[72]
surface	62.0	[72, 65, 60, 50]
reduction	62.0	[72, 65, 60, 50]
melody	62.5	[70]
surface	62.5	[70, 67, 62, 51]
reduction	62.5	[70, 67, 62, 51]
melody	63.5	[70]
surface	63.5	[70, 65, 62, 50]
reduction	63.5	[70, 65, 62, 50]
melody	64.5	[72]
surface	64.5	[72, 63, 60, 51]
reduction	64.5	[72, 63, 60, 51]
melody	65.5	[74]
surface	65.5	[74, 65, 58, 50]
reduction	65.5	[74, 65, 58, 50]
melody	66.5	[75]
surface	66.5	[75, 67, 57, 48]
reduction	66.5	[75, 67, 57, 48]
melody	67.5	[74]
surface	67.5	[74, 65, 59, 50]
reduction	67.5	[74, 65, 59, 50]
grouping	68.0	[63]
melody	68.0	[74]
surface	68.0	[74, 67, 59, 55]
reduction	68.0	[74, 67, 59, 55]
melody	69.5	[72]
surface	69.5	[72, 63, 60, 48]
reduction	69.5	[72, 63, 60, 48]
melody	70.0	[72]
surface	70.0	[72, 63, 60, 48]
melody	70.5	[72]
surface	70.5	[72, 63, 60, 48]
melody	71.0	[72]
surface	71.0	[72, 63, 60, 48]
melody	71.5	[72]
surface	71.5	[72, 65, 60, 48]
reduction	71.5	[72, 63, 60, 48]
melody	72.0	[72]
surface	72.0	[72, 63, 60, 48]
surface	72.5	[65, 72, 50, 60]
reduction	72.5	[72, 65, 60, 50]
melody	73.0	[72]
surface	73.0	[72, 67, 60, 51]
reduction	73.0	[72, 67, 60, 51]
melody	74.0	[72]
surface	74.0	[72, 68, 62, 53]
reduction	74.0	[72, 68, 62, 53]
melody	75.0	[72]
surface	75.0	[72, 67, 62, 51]
reduction	75.0	[72, 67, 62, 51]
melody	76.0	[70]
surface	76.0	[70, 67, 62, 46]
reduction	76.0	[70, 67, 62, 46]
melody	77.0	[70]
surface	77.0	[70, 67, 62, 43]
reduction	77.0	[70, 67, 62, 43]
surface	77.5	[65, 70, 62, 43]
grouping	78.0	[63]
melody	78.0	[72]
surface	78.0	[72, 63, 63, 48]
reduction	78.0	[72, 63, 63, 48]
melody	79.5	[72]
surface	79.5	[72, 63, 60, 48]
reduction	79.5	[72, 63, 60, 48]
melody	80.0	[72]
surface	80.0	[72, 63, 60, 48]
reduction	80.0	[72, 63, 60, 48]
melody	80.5	[72]
surface	80.5	[72, 65, 60, 50]
reduction	80.5	[72, 65, 60, 50]
melody	81.0	[72]
surface	81.0	[72, 67, 60, 51]
reduction	81.0	[72, 67, 60, 51]
melody	81.5	[72]
surface	81.5	[72, 68, 62, 53]
reduction	81.5	[72, 68, 62, 53]
melody	82.5	[72]
surface	82.5	[72, 67, 62, 51]
reduction	82.5	[72, 67, 62, 51]
melody	83.5	[70]
surface	83.5	[70, 67, 62, 46]
reduction	83.5	[70, 67, 62, 46]
grouping	84.0	[63]
surface	84.5	[65, 70, 43, 62]
reduction	84.5	[65, 70, 43, 62]
melody	85.5	[72]
surface	85.5	[72, 63, 63, 48]
reduction	85.5	[72, 63, 63, 48]
reduction	87.5	[72, 60, 60, 48]
melody	88.5	[72]
surface	88.5	[72, 60, 60, 48]
melody	89.5	[72]
surface	89.5	[72, 60, 60, 48]
melody	90.5	[72]
surface	90.5	[72, 60, 60, 48]
reduction	90.5	[72, 60, 60, 48]
