TS;4/4;;
Grp;0.0;;
Bar;0  2;[1.5, 2.0, 2.5, 3.0, 3.5];[67, 70, 74, 70, 72]
Bar;0;[0.0];[72]
Bar;0  2;[0.0, 1.5, 2.0, 2.5, 3.0, 3.5];[72, 67, 70, 74, 70, 72]
Bar;0;[0.0];[72]
Grp;0.0;;
Bar;0  2;[0.0, 1.5, 2.0, 2.5, 3.0, 3.5];[72, 72, 75, 79, 75, 77]
Bar;0;[0.0];[77]
Bar;2;[0.0, 1.5, 2.0, 2.5, 3.0, 3.5];[77, 67, 70, 74, 70, 72]
Bar;0;[0.0];[72]
Grp;0.0;;
Bar;0  2;[0.0, 1.5, 2.0, 2.5, 3.0, 3.5];[72, 67, 72, 74, 72, 70]
Bar;0;[0.0];[70]
Bar;0  2;[0.0, 1.5, 2.0, 2.5, 3.0, 3.5];[70, 67, 70, 74, 70, 72]
Bar;0;[0.0];[72]
Bar;0  2;[0.0, 1.5, 2.0, 2.5, 3.0, 3.5];[72, 67, 70, 74, 70, 72]
Bar;0;[0.0];[72]
Bar;0;[0.0];[72]
