TS;4/4;;
Grp;0.0;;
Bar;0;[0.0, 3.0];[76, 74]
Bar;0;[0.0, 3.0];[72, 70]
Bar;0  2;[0.0, 3.0];[69, 67]
Bar;0  2;[0.0, 1.0];[65, 74]
Grp;0.0;;
Bar;0;[0.0, 1.5, 2.0, 2.5, 3.0, 3.5];[64, 62, 61, 62, 65, 69]
Bar;0;[0.0, 3.0];[72, 69]
Bar;0;[0.0, 3.0];[67, 65]
Bar;0;[0.0, 3.0];[72, 68]
Bar;0;[0.0, 3.0];[71, 69]
Bar;0;[0.0, 3.0];[77, 73]
Bar;0;[0.0, 3.0];[76, 74]
Bar;0;[0.0, 3.0];[72, 70]
Bar;0;[0.0];[69]
