Grp;0
Chord;0
Grp;22
Chord;22
Chord;32
Chord;34
Grp;37
Chord;38
Grp;52
Chord;52
Chord;53
Chord;60
Chord;62
Chord;63
Chord;64
Chord;67
Chord;68
Chord;70
Chord;71
Grp;72
Chord;72
Chord;73
Chord;74
Chord;76
Chord;77
Chord;79
Chord;80
Chord;81
Chord;82
Chord;83
Grp;85.5
Chord;86
Chord;87
Chord;88
Chord;89
Chord;90.5
Chord;91
Chord;91.5
Chord;92
Chord;92.5
Chord;93
Chord;93.5
Chord;94
Chord;95
Chord;96
Grp;96.5
Chord;97
Chord;98
Chord;98.5
Chord;99
Chord;100
Chord;101
Grp;111.5
Chord;112
Chord;113
Chord;114
Chord;115
Chord;116
Chord;117
Chord;118
Chord;122
Grp;122.5
Chord;122.5
Chord;123
Chord;124
Chord;125
Chord;126
Chord;127
Chord;128
Grp;134.5
Chord;134.5
Grp;139.5
Chord;140
Chord;141
Chord;142
Chord;143
Chord;144
Chord;145
Chord;145.5
Chord;146.5
Chord;147.1667
Chord;150
Chord;150.5
Chord;151
Chord;153
Chord;154
Chord;155
Chord;157
Chord;158.5
Chord;159
Chord;159.5
Chord;160
Chord;160.5
Chord;161.5
Chord;162.5
Chord;163.5
Chord;164
Chord;164.5
Chord;165.5
Chord;166.5
Chord;167
Chord;167.5
Chord;168
Chord;169
Chord;174
Chord;175
