grouping	74.0	[61]
surface	74.0	[66, 61]
reduction	74.0	[66, 61, 58, 54]
surface	75.0	[68, 64]
reduction	75.0	[68, 64, 61, 49]
surface	75.5	[68, 63]
surface	75.6666666667	[68, 64]
surface	75.8333333333	[68, 63]
surface	76.0	[66, 61]
reduction	76.0	[66, 61, 58, 54]
surface	76.5	[66, 66]
surface	77.0	[68, 64]
reduction	77.0	[68, 64, 61, 49]
surface	77.5	[68, 63]
surface	77.6666666667	[68, 64]
surface	77.8333333333	[68, 63]
surface	78.0	[66, 61]
reduction	78.0	[66, 61, 58, 54]
surface	79.0	[73]
reduction	79.0	[73, 70, 66, 54]
surface	80.0	[73, 70]
grouping	81.0	[61]
surface	81.0	[76, 68]
reduction	81.0	[76, 68, 61]
surface	81.5	[75, 66]
surface	81.6666666667	[76, 66]
surface	81.75	[76, 68]
surface	81.8333333333	[75, 68]
surface	82.0	[73, 70]
reduction	82.0	[73, 70, 66]
surface	82.5	[78, 70]
reduction	82.5	[78, 70, 63, 51]
surface	83.0	[76, 68]
reduction	83.0	[76, 68, 59, 52]
surface	83.5	[75, 66]
reduction	83.5	[75, 64, 56, 49]
surface	83.75	[75, 64]
surface	84.0	[73, 66]
reduction	84.0	[73, 66, 58, 42]
