reduction	62.0	[55, 40, 52]
surface	62.5	[59, 52]
surface	63.0	[57, 45]
reduction	63.0	[57, 52, 61, 45]
surface	63.5	[61, 52]
surface	63.75	[62, 52]
surface	64.0	[64, 61]
reduction	64.0	[64, 52, 61, 45]
grouping	65.0	[73]
surface	65.0	[55]
reduction	65.0	[55, 66, 71, 74]
surface	65.5	[59, 66, 71, 74]
surface	66.0	[62]
surface	66.5	[59, 66, 71, 74]
surface	67.0	[55]
surface	67.5	[59, 66, 71, 74]
surface	68.0	[55]
reduction	68.0	[55, 66, 69, 74]
surface	68.5	[59, 66, 69, 74]
surface	69.0	[62]
surface	69.5	[59, 66, 69, 74]
surface	70.0	[55]
reduction	70.0	[55, 64, 67, 74]
surface	70.5	[59, 64, 67, 74]
surface	71.0	[57]
reduction	71.0	[57, 64, 69, 73]
surface	71.5	[57, 64, 69, 74]
surface	71.75	[55, 64, 69, 74]
surface	72.0	[57, 64, 69, 73]
