time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
1;;[10,_0_];;
1.5;;[3,_0_];;
2;;[0,_0_];;
3;;[0,_0_];;
4.5;[0,_0_10_];[0,_0_7_];;
1.5;[0,_0_3_];;;
2;[0,_0_];;;
3;[0,_0_];;;
3.5;[0,_0_];;;
4.5;[0,_0_7_];;;
5;[0,_0_7_];;;
5.75;[7,_0_3_5_];;;
6;[0,_0_];[0,_0_];;
7;[0,_0_10_];[0,_0_10_];;
grouping;-------;-------;-------;-------
7.5;[0,_0_7_];[0,_0_7_];;
8;[0,_0_7_];[0,_0_7_];;
8.75;[7,_0_3_5_];;;
9;[0,_0_10_];[0,_0_10_];;
9.5;[0,_0_7_];[0,_0_7_];;
10.25;[7,_0_3_5_];;;
10.5;[5,_0_7_];[5,_0_7_];;
10.75;[0,_0_3_];;;
11;[0,_0_];[0,_0_];;
11.75;[0,_0_10_];;;
12;[0,_0_];[0,_0_];;
grouping;-------;-------;-------;-------
12.5;[0,_0_];;;
13.5;[5,_0_7_];[5,_0_7_];;
14;[0,_0_3_];[0,_0_3_];;
14.75;[0,_0_3_10_];;;
15;[0,_0_];[0,_0_];;
15.5;[0,_0_];;;
16.5;[0,_0_7_];[0,_0_7_];;
17;[0,_0_7_];;;
17.75;[7,_0_3_5_];;;
18;[0,_0_];[0,_0_];;
grouping;-------;-------;-------;-------
19;[0,_0_10_];[0,_0_10_];;
19.5;[0,_0_7_];[0,_0_7_];;
20;[0,_0_7_];;;
20.75;[7,_0_3_5_];;;
21;[0,_0_10_];[0,_0_10_];;
21.5;[0,_0_7_];[0,_0_7_];;
22.25;[0,_0_5_10_];;;
22.5;[5,_0_7_];[5,_0_7_];;
23;[0,_0_3_];[0,_0_3_];;
23.75;[0,_0_3_10_];;;
24;[0,_0_];[0,_0_];;
25.5;[0,_0_10_];[0,_0_10_];;
27;[3,_0_];[3,_0_];;
grouping;-------;-------;-------;-------
28.5;[0,_0_7_];[0,_0_7_];;
29;[5,_0_7_];[5,_0_7_];;
29.75;[0,_0_3_10_];;;
30;[5,_0_7_];[5,_0_7_];;
30.25;[0,_0_3_];;;
30.5;[0,_0_];[0,_0_];;
31.25;[0,_0_10_];;;
31.5;[0,_0_7_];[0,_0_7_];;
32;[0,_0_3_];[0,_0_3_];;
32.75;[0,_0_3_10_];;;
33;[5,_0_7_];[5,_0_7_];;
grouping;-------;-------;-------;-------
34;[0,_0_5_10_];[0,_0_5_10_];;
34.5;[0,_0_10_];[0,_0_10_];;
35;[5,_0_7_];[5,_0_7_];;
35.75;[0,_0_5_10_];;;
36;[5,_0_7_];[5,_0_7_];;
36.25;[0,_0_3_];;;
36.5;[0,_0_];[0,_0_];;
37.25;[0,_0_10_];;;
37.5;[5,_0_7_];[5,_0_7_];;
38;[0,_0_3_];[0,_0_3_];;
38.75;[0,_0_3_10_];;;
39;[0,_0_7_];[0,_0_7_];;
grouping;-------;-------;-------;-------
40;[7,_0_3_5_];[7,_0_3_5_];;
40.5;[0,_0_10_];[0,_0_10_];;
41;[0,_0_7_];[0,_0_7_];;
41.75;[0,_0_5_10_];;;
42;[0,_0_3_];[0,_0_3_];;
42.5;[0,_0_];[0,_0_];;
43.25;[0,_0_10_];;;
43.5;[5,_0_7_];[5,_0_7_];;
44;[0,_0_3_];[0,_0_3_];;
grouping;-------;-------;-------;-------
44.5;[0,_0_3_];[0,_0_3_];;
45;[0,_0_7_];[0,_0_7_];;
46;[7,_0_3_5_];[7,_0_3_5_];;
46.5;[0,_0_10_];[0,_0_10_];;
47;[0,_0_7_];[0,_0_7_];;
47.75;[0,_0_5_10_];;;
48;[0,_0_3_];[0,_0_3_];;
48.5;[0,_0_];[0,_0_];;
49.25;[0,_0_10_];;;
49.5;[0,_0_];[0,_0_];;
50;[0,_0_];;;
