TS;4/4;;
Grp;0.0;;
Bar;0;[1.0, 1.5, 2.0, 3.0];[71, 71, 72, 71]
Bar;;[0.0, 1.0, 1.5, 2.0, 2.5];[67, 62, 64, 69, 67]
Bar;0;[0.0, 2.0, 2.666666666666666, 3.333333333333334];[65, 65, 67, 69]
Bar;;[0.0];[62]
Bar;0;[2.0, 2.666666666666668, 3.333333333333332];[65, 67, 68]
Bar;;[0.0, 3.5];[62, 62]
Grp;0.0;;
Bar;0  2;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0];[74, 72, 71, 69, 68, 69, 71]
Bar;2;[2.0, 2.333333333333332, 2.666666666666668, 3.0, 3.333333333333332, 3.666666666666668];[71, 67, 64, 71, 67, 62]
Bar;0;[0.0, 0.5, 1.0];[69, 67, 67]
Grp;0.0;;
Bar;0  2;[0.0, 0.6666666666666643, 1.3333333333333357, 2.0, 2.6666666666666643, 3.3333333333333357];[69, 69, 69, 69, 69, 69]
Bar;0  2  3;[0.0, 1.0];[69, 69]
Bar;0;[0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5];[67, 67, 67, 71, 69, 67, 66]
Bar;0  2;[0.0, 0.5, 1.0];[69, 67, 67]
Grp;0.0;;
Bar;0  2;[0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5];[67, 67, 67, 66, 64, 62, 71]
Bar;0  2;[0.0, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0];[67, 67, 67, 67, 69, 67, 66, 64]
Bar;0  2;[0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5];[67, 67, 67, 69, 67, 66, 64]
Bar;0  2;[0.0];[67]
Grp;0.0;;
Bar;0;[1.0, 1.5, 2.0, 3.0];[71, 71, 72, 71]
Bar;;[0.0, 1.0, 1.5, 2.0, 3.0];[67, 62, 64, 69, 67]
Bar;0;[0.0, 2.0, 2.6666666666666714, 3.3333333333333286];[65, 65, 67, 69]
Bar;;[0.0];[62]
Bar;0;[2.0, 2.6666666666666714, 3.3333333333333286];[65, 67, 68]
Bar;;[0.0, 3.5];[62, 62]
Grp;0.0;;
Bar;0  2;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0];[74, 72, 71, 69, 68, 69, 71]
Bar;2;[2.0, 2.3333333333333286, 2.6666666666666714, 3.0, 3.3333333333333286, 3.6666666666666714];[71, 67, 64, 71, 67, 62]
Bar;0  2;[0.0, 0.5, 1.0];[69, 67, 67]
TS;6/8;;
Grp;0.0;;
Bar;0;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5];[71, 67, 64, 71, 67, 62]
TS;3/4;;
Bar;0;[0.0, 0.5, 1.0];[69, 67, 67]
TS;6/8;;
Bar;0         1.5;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5];[71, 67, 64, 74, 72, 62]
TS;4/4;;
Bar;0;[0.0, 0.5, 1.0];[64, 67, 67]
Bar;0;[];[]
