TS;3/4;;
Grp;0.0;;
Bar;0;[0.5, 1.0, 1.5, 2.0, 2.5];[70, 70, 69, 69, 67]
Bar;0;[0.0, 1.0, 2.0];[67, 65, 64]
Bar;0;[0.0, 1.0, 2.0];[62, 64, 65]
Bar;0;[0.0, 1.0, 2.0];[67, 64, 62]
Bar;0;[0.0, 1.0, 2.0];[60, 62, 64]
Bar;0;[0.0, 1.0, 2.0];[65, 62, 60]
Bar;0  1;[0.0, 1.0, 2.5];[59, 60, 60]
Bar;0;[0.0];[57]
Bar;;[0.0];[57]
Bar;;[0.0];[57]
Bar;;[0.0, 2.0, 2.5];[57, 64, 62]
Grp;0.0;;
Bar;0;[0.0, 1.0, 2.0, 2.5];[60, 60, 60, 59]
Bar;;[0.0, 1.0, 2.0, 2.5];[57, 57, 64, 62]
Bar;0;[0.0, 1.0, 2.0, 2.5];[60, 60, 60, 59]
Bar;0;[0.0, 2.0, 2.5];[57, 69, 67]
Bar;0;[0.0, 1.0, 2.0, 2.5];[65, 65, 65, 64]
Bar;0;[0.0, 1.0, 2.0, 2.5];[62, 62, 67, 65]
Bar;0;[0.0, 1.0, 2.0, 2.5];[64, 64, 64, 62]
Bar;0;[0.0];[61]
Grp;0.0;;
Bar;0;[0.0, 1.5, 2.0, 2.5];[67, 65, 64, 62]
Bar;0;[0.0, 1.0];[60, 59]
Bar;0;[0.0, 1.5, 2.0, 2.5];[65, 64, 62, 60]
Bar;0;[0.0, 1.0];[59, 57]
Bar;0;[0.0, 1.5, 2.0, 2.5];[64, 62, 60, 59]
Bar;0;[0.0, 1.0];[57, 59]
Bar;0;[0.0];[64]
Bar;;[0.0, 2.0, 2.5];[64, 64, 62]
Grp;0.0;;
Bar;0;[0.0, 1.5, 2.0, 2.5];[57, 65, 64, 62]
Bar;0;[0.0, 1.0];[57, 59]
Bar;0;[0.0, 1.5, 2.0, 2.5];[59, 67, 66, 64]
Bar;0;[0.0, 1.0];[59, 60]
Bar;0;[0.0, 1.5, 2.0, 2.5];[60, 71, 69, 67]
Bar;0;[0.0, 1.0, 2.0, 2.5];[66, 67, 69, 66]
Bar;0;[0.0];[71]
Bar;2;[0.0, 2.0, 2.5];[71, 72, 72]
Grp;0.0;;
Bar;0;[0.0, 2.0, 2.5];[72, 71, 69]
Bar;;[0.0, 1.0, 2.0];[72, 71, 69]
Bar;0;[0.0, 2.0, 2.5];[72, 71, 69]
Bar;0;[0.0, 1.0, 2.0];[72, 71, 69]
Bar;0;[0.0, 2.0, 2.5];[72, 71, 69]
Bar;0;[0.0, 1.0, 2.0];[69, 68, 71]
Bar;0;[0.0];[64]
Bar;0;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5];[64, 70, 70, 69, 69, 67]
Grp;0.0;;
Bar;0;[0.0, 1.0, 2.0];[67, 65, 64]
Bar;0;[0.0, 1.0, 2.0];[62, 64, 65]
Bar;0;[0.0, 1.0, 2.0];[67, 64, 62]
Bar;0;[0.0, 1.0, 2.0];[60, 62, 64]
Bar;0;[0.0, 1.0, 2.0];[65, 62, 60]
Bar;0;[0.0, 1.0, 2.0];[59, 60, 62]
Bar;0;[0.0];[64]
Bar;;[0.0, 2.0, 2.5];[64, 64, 62]
Grp;0.0;;
Bar;0  2;[0.0, 2.0, 2.5];[59, 60, 60]
Bar;0;[0.0];[57]
Bar;;[0.0];[57]
Bar;;[0.0];[57]
Bar;;[0.0];[57]
