TS	2/4	
Grp	0.0	
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.5]	[75, 76, 78, 76, 75, 73]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.5]	[72, 73, 75, 73, 72, 69]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[68, 69, 72, 73, 72, 69, 68, 66]
Bar	[0.0, 0.25, 0.5, 1.0, 1.5]	[72, 75, 73, 78, 73]
Grp	0.0	
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.5]	[75, 76, 78, 76, 75, 73]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.5]	[72, 73, 75, 73, 72, 69]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[68, 69, 72, 75, 73, 72, 69, 66]
Bar	[0.0, 0.5, 1.0]	[66, 61, 66]
Grp	0.0	
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[66, 65, 66, 61, 60, 61, 65, 66]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[68, 69, 66, 68, 69, 72, 68, 69]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[72, 73, 69, 72, 73, 75, 72, 73]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5]	[76, 75, 73, 72, 73, 72, 73]
Grp	0.0	
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5]	[76, 75, 73, 75, 73, 72, 69]
Bar	[0.0, 0.25, 0.5, 1.0, 1.25, 1.5, 1.75]	[72, 75, 73, 73, 72, 73, 75]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[73, 72, 69, 72, 69, 68, 66, 65]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[66, 68, 69, 72, 73, 72, 73, 75]
Grp	0.0	
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5]	[76, 75, 73, 75, 73, 72, 69]
Bar	[0.0, 0.25, 0.5, 1.0, 1.25, 1.5, 1.75]	[72, 75, 73, 73, 72, 73, 75]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[73, 72, 69, 72, 69, 68, 66, 65]
Bar	[0.0, 0.5, 1.0]	[66, 61, 66]
Grp	0.0	
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[76, 75, 76, 73, 75, 76, 78, 76]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[79, 78, 79, 76, 75, 76, 78, 80]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[81, 80, 81, 78, 79, 78, 76, 75]
Bar	[0.0, 0.5, 1.0]	[76, 81, 76]
Grp	0.0	
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.5]	[79, 78, 76, 75, 76, 69]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.5]	[79, 78, 76, 75, 76, 69]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[79, 78, 76, 75, 76, 75, 76, 78]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.5]	[79, 78, 76, 75, 76, 69]
Grp	0.0	
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[79, 78, 76, 75, 76, 75, 72, 71]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.75]	[72, 71, 69, 68, 69, 64]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[64, 66, 68, 69, 71, 72, 75, 76]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[79, 78, 76, 75, 72, 71, 69, 68]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[69, 68, 71, 69, 69, 68, 68, 66]
Bar	[0.0, 0.5, 1.0]	[66, 61, 66]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.25, 1.5, 1.75]	[73, 73, 66, 68, 69, 72]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5]	[73, 72, 69, 68, 69, 68, 66]
Bar	[0.0, 0.5, 1.0, 1.25, 1.5, 1.75]	[73, 73, 66, 68, 69, 72]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5]	[73, 72, 69, 68, 69, 68, 66]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.25, 1.5, 1.75]	[73, 73, 66, 68, 69, 72]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5]	[73, 72, 69, 68, 69, 68, 66]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[78, 76, 75, 73, 72, 69, 68, 69]
Bar	[0.0, 0.5, 1.0]	[66, 61, 66]
