TS	2/4	
Bar	[1.25, 1.5, 1.75]	[62, 67, 70]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.75]	[74, 74, 73, 69]
Bar	[0.0, 0.5, 1.0, 1.25, 1.5, 1.75, 1.8125, 1.875, 1.9375]	[70, 70, 69, 70, 67, 62, 67, 70, 74]
Bar	[0.0, 0.5, 1.0]	[74, 74, 73]
Bar	[0.0, 0.16666666666666607, 0.3333333333333339, 0.5, 0.6666666666666661, 0.8333333333333339, 1.0, 1.25, 1.5, 1.75]	[70, 69, 67, 69, 70, 73, 74, 62, 67, 70]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.75]	[74, 74, 73, 69]
Bar	[0.0, 0.5, 1.0, 1.25, 1.5]	[70, 70, 69, 70, 67]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[69, 70, 69, 70, 73, 74, 70, 69]
Bar	[0.0, 0.5, 1.0]	[67, 62, 67]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5]	[66, 67, 69, 70]
Bar	[0.0, 0.5, 1.0, 1.25, 1.5]	[73, 74, 70, 69, 67]
Bar	[0.0, 0.5, 1.0, 1.5]	[73, 74, 76, 77]
Bar	[0.0, 0.5, 1.0, 1.5]	[76, 77, 76, 74]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.5]	[73, 74, 73, 74, 76, 77]
Bar	[0.0, 0.5, 1.0, 1.5]	[76, 77, 76, 74]
Grp	0.0	
Bar	[0.0, 0.75, 1.0, 1.5]	[79, 77, 76, 74]
Bar	[0.0, 0.5, 1.0, 1.5]	[73, 70, 69, 67]
Bar	[0.0, 0.25, 0.5, 1.0, 1.5]	[73, 76, 74, 74, 74]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[67, 69, 70, 73, 74, 76, 77, 78]
Grp	0.0	
Bar	[0.0, 0.75, 1.0, 1.5]	[79, 77, 76, 74]
Bar	[0.0, 0.5, 1.0, 1.5]	[73, 70, 69, 70]
Bar	[0.0, 0.25, 0.5, 1.0, 1.5, 1.75]	[69, 70, 67, 67, 79, 79]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[79, 78, 81, 78, 79, 77, 76, 74]
Bar	[0.0, 0.25, 0.5, 1.0, 1.25, 1.5, 1.75]	[69, 70, 67, 67, 62, 61, 62]
Bar	[0.0, 0.5, 1.0, 1.25, 1.5, 1.75]	[67, 62, 67, 62, 67, 70]
