TS	4/4	
Bar	[3.0]	[67]
Grp	0.0	
Bar	[0.0, 1.5, 2.0, 2.5, 3.5]	[79, 77, 75, 74, 72]
Bar	[0.0, 3.0]	[72, 70]
Bar	[0.0, 2.0, 3.5]	[68, 79, 77]
Bar	[0.0]	[77]
Grp	0.0	
Bar	[0.0, 1.5, 2.0, 2.5, 3.5]	[77, 75, 74, 72, 70]
Bar	[0.0, 3.0]	[70, 68]
Bar	[0.0, 2.0, 3.5]	[67, 77, 75]
Bar	[0.0]	[75]
Grp	0.0	
Bar	[0.0, 1.5, 2.0, 2.5, 3.5]	[75, 73, 72, 70, 68]
Bar	[0.0, 3.0]	[68, 66]
Bar	[0.0, 1.0, 1.5, 2.5, 3.0]	[66, 65, 70, 65, 68]
Bar	[0.0]	[68]
Grp	0.0	
Bar	[0.0, 1.0, 1.5, 2.0]	[68, 67, 70, 70]
Bar	[0.0, 1.0, 1.5, 2.0, 3.5]	[68, 67, 70, 70, 68]
Bar	[0.0]	[67]
Bar	[0.0, 3.0]	[67, 67]
Bar	[0.0]	[67]
